name;tagline;description;category;variant1_type;variant1_price;variant1_minQuantity;variant2_type;variant2_price;variant2_minQuantity;variant3_type;variant3_price;variant3_minQuantity;;;;;;;;;;;;;;
Semar mendem;Rasa tradisional yang penuh kenangan.;Kudapan berisi ayam cincang yang dibungkus ketan lembut dan kulit telur, memberikan sensasi gurih dan lezat.;Cake;Normal;5500;20;;;;;;;;;;;;;;;;;;;;
Lekker Hollan;Kue renyah dari Belanda yang legendaris.;Kue khas Belanda yang renyah dengan tekstur lembut, penuh rasa butter dan sedikit manis yang pas.;Cake;Normal;5000;20;;;;;;;;;;;;;;;;;;;;
Banana Strudel;Paduan pisang dan pastry berlapis yang renyah.;Strudel dengan pisang manis berlapis-lapis pastry renyah, memberikan rasa manis alami dan tekstur unik.;Pastry;Normal;7000;20;;;;;;;;;;;;;;;;;;;;
Muffin Pisang Coklat;Manisnya pisang dan cokelat dalam muffin lembut.;Muffin dengan pisang dan cokelat yang lezat, cocok untuk camilan atau sarapan yang manis dan memuaskan.;Cake;Normal;6000;20;;;;;;;;;;;;;;;;;;;;
Bolu Kelapa;Lembutnya bolu dengan aroma kelapa asli.;Bolu lembut dan moist dengan rasa kelapa yang kaya, memberikan aroma dan rasa khas tropis.;Cake;Normal;4000;20;;;;;;;;;;;;;;;;;;;;
Risol Sayur;Gurih dan renyah dengan isian sayur segar.;Risol berisi campuran sayuran segar, dibalut dengan kulit renyah yang gurih dan lezat.;Other;Normal;3500;20;;;;;;;;;;;;;;;;;;;;
Bitter Ballen;Camilan khas Belanda dengan isian gurih daging.;Bola daging yang renyah di luar dan creamy di dalam, disajikan dengan saus mustard atau mayo.;Pastry;Normal;5000;20;;;;;;;;;;;;;;;;;;;;
Spaghetti Brulle;Lezatnya spaghetti panggang ala brulee.;Spaghetti dengan topping keju panggang hingga renyah dan creamy, memberikan sensasi lezat ala Italia.;Pasta;Normal;20000;20;;;;;;;;;;;;;;;;;;;;
Sosis Solo;Rasa khas Solo dengan isian ayam yang gurih;Camilan Solo berisi ayam cincang dalam kulit yang lembut, cocok dinikmati dengan saus sambal.;Other;Ayam;5000;20;Sapi;6500;20;;;;;;;;;;;;;;;;;
Kroket;Renyah luar, lembut dan gurih isi ayam.;Kroket berisi daging ayam yang gurih, dibalut tepung panir untuk tekstur renyah sempurna.;Other;Ayam;5000;20;Sapi;6500;20;;;;;;;;;;;;;;;;;
Pudding Coklat ;Manisnya coklat dalam pudding yang lembut.;Pudding coklat yang lembut, manis, dan kaya rasa cokelat, cocok sebagai dessert yang disukai semua kalangan.;Other;Normal;5500;20;;;;;;;;;;;;;;;;;;;;
Pudding Milo Cincau;Paduan unik Milo dan cincau yang menyegarkan.;Pudding Milo dengan cincau, kombinasi unik antara cokelat manis dan tekstur kenyal cincau hitam.;Other;Normal;6000;20;;;;;;;;;;;;;;;;;;;;
Lemper Ayam;Lemper ayam gurih, kukus hingga lembut.;Lemper dengan isian ayam suwir gurih, dibungkus ketan pulen dan dikukus hingga wangi.;Other;Kukus;5000;20;Bakar;6000;20;;;;;;;;;;;;;;;;;
Arem-arem Kentang;Arem-arem lembut dengan isian ayam kentang.;Nasi gulung berisi ayam dan kentang yang gurih, ideal sebagai camilan atau pengganjal perut.;Other;Ayam;4000;20;Sapi;6000;20;;;;;;;;;;;;;;;;;
Pudding Syrup Marjan;Manisnya pudding dengan sentuhan sirup khas Marjan.;Pudding lembut dengan rasa sirup Marjan yang manis dan segar, memberikan kesan nostalgia yang istimewa.;Other;Normal;4500;20;;;;;;;;;;;;;;;;;;;;
Bread Pudding;Pudding roti klasik yang lembut dan manis.;Bread pudding dengan tekstur lembut dan creamy, dipanggang hingga berwarna keemasan dengan aroma butter yang harum.;Other;Normal;6000;20;;;;;;;;;;;;;;;;;;;;
Tahu Fantasi ;Kreasi tahu goreng isi sosis unik.;Tahu dengan isian sosis, goreng hingga renyah, cocok untuk camilan ringan dan lezat.;Other;Sosis;4000;20;Telur Puyuh;4000;20;;;;;;;;;;;;;;;;;
Tahu Isi Sapi;Tahu goreng renyah dengan isian daging sapi;Tahu goreng berisi daging sapi cincang yang gurih dan lezat, cocok untuk camilan atau lauk.;Other;Normal;6000;20;;;;;;;;;;;;;;;;;;;;
Nagasari Pisang;Manisnya pisang dalam lapisan nagasari lembut.;Kue tradisional dengan lapisan tepung beras dan isi pisang, lembut dan harum khas nagasari.;Cake;Normal;4000;20;;;;;;;;;;;;;;;;;;;;
Gabin Tape;Renyahnya gabin dengan isian tape manis.;Kudapan tradisional dengan isian tape manis yang diapit dalam biskuit gabin renyah, memberikan rasa manis dan gurih.;Other;Normal;4000;20;;;;;;;;;;;;;;;;;;;;
Wingko Babat;Wingko legit, aroma kelapa bakar memikat.;Kue tradisional berbahan kelapa yang manis, dipanggang hingga memberikan aroma khas dan tekstur legit.;Other;Normal;4000;20;;;;;;;;;;;;;;;;;;;;
Talam Ubi;Rasa ubi manis dalam kue talam lembut;Kue basah dengan lapisan ubi manis, teksturnya lembut dan legit, memberikan rasa manis alami dari ubi.;Other;Normal;4000;20;;;;;;;;;;;;;;;;;;;;
