name;tagline;description;category;variant1_type;variant1_price;variant1_minQuantity;variant2_type;variant2_price;variant2_minQuantity;variant3_type;variant3_price;variant3_minQuantity
Pandan Chiffon;Wangi pandan dan kelembutan yang memikat.;Chiffon cake berwarna hijau alami dari pandan, lembut dan airy dengan aroma pandan yang harum dan lezat.;Cake;Normal 20 (cm);70000;1;;;;;;
Picnic Roll;Daging dan telur dibalut kulit pastry renyah.;Roti pastry renyah dengan isi daging cincang dan telur rebus, ideal sebagai camilan atau menu saat piknik.;Pastry;Normal ;80000;1;;;;;;
Chewy Chocochips Cookies;Cookies cokelat lembut dengan choco chips melimpah.;Kue dengan tekstur chewy yang kenyal dan choco chips yang melimpah, menjadikannya pilihan sempurna bagi pecinta cokelat.;Cake;Normal ;10000;10;;;;;;
Bolu Pisang;Aroma pisang asli dalam bolu lembut.;Bolu pisang yang lembut dan manis, dibuat dari pisang asli yang memberikan rasa manis alami dan aroma harum.;Cake;Normal 20 x 20 (cm);65000;1;;;;;;
;;;;;;;;;;;;
Marmer Cake Slice;Paduan warna dan rasa dalam satu irisan.;Marmer cake dengan motif cokelat yang cantik, lembut dan moist, membawa kombinasi rasa vanila dan cokelat yang sempurna.;Cake;Mini/Slice;5000;20;;;;;;
Brownies Panggang;Brownies klasik, crunchy di luar lembut di dalam.;Brownies panggang yang kaya cokelat, dengan tekstur luar yang renyah dan bagian dalam yang lembut dan fudgy.;Cake;Mini/Slice;6500;10;;;;;;
Brownies Pie;Brownies dengan keunikan rasa pie renyah.;Brownies cokelat dengan lapisan crust pie yang renyah, memberikan tekstur yang unik dan memuaskan.;Pie;Mini/Slice;5500;20;;;;;;
Susu Pie;Pie manis dengan isian susu yang lembut;Pie yang renyah dengan isian susu lembut dan manis, membuat setiap gigitannya terasa lumer di mulut.;Pie;Mini/Slice;4000;20;;;;;;
Blueberry Cheese Pie;Manisnya blueberry berpadu dengan cheese lembut.;Pie renyah berisi keju dan topping blueberry, memberikan kombinasi rasa manis dan asam yang seimbang.;Pie;Mini/Slice;7000;20;;;;;;
Lumpur Surga;Lembut, manis, dengan aroma pandan yang menggoda.;Kue tradisional dengan tekstur super lembut dan rasa manis gurih pandan, membawa kenikmatan sederhana yang kaya rasa.;Cake;Mini/Slice;5500;20;;;;;;
Bolen Sosis Keju;Renyah di luar, gurihnya sosis dan keju di dalam.;Bolen pastry berisi sosis dan keju, menggabungkan tekstur renyah pastry dan kelezatan gurih keju.;Cake;Mini/Slice;7500;20;;;;;;
Semar mendem;Rasa tradisional yang penuh kenangan.;Kudapan berisi ayam cincang yang dibungkus ketan lembut dan kulit telur, memberikan sensasi gurih dan lezat.;Cake;Mini/Slice;5500;20;;;;;;
Lekker Hollan;Kue renyah dari Belanda yang legendaris.;Kue khas Belanda yang renyah dengan tekstur lembut, penuh rasa butter dan sedikit manis yang pas.;Cake;Mini/Slice;5000;20;;;;;;
Banana Strudel;Paduan pisang dan pastry berlapis yang renyah.;Strudel dengan pisang manis berlapis-lapis pastry renyah, memberikan rasa manis alami dan tekstur unik.;Pastry;Mini/Slice;7000;20;;;;;;
Muffin Pisang Coklat;Manisnya pisang dan cokelat dalam muffin lembut.;Muffin dengan pisang dan cokelat yang lezat, cocok untuk camilan atau sarapan yang manis dan memuaskan.;Cake;Mini/Slice;6000;20;;;;;;
Bolu Kelapa;Lembutnya bolu dengan aroma kelapa asli.;Bolu lembut dan moist dengan rasa kelapa yang kaya, memberikan aroma dan rasa khas tropis.;Cake;Mini/Slice;4000;20;;;;;;
Risol Sayur;Gurih dan renyah dengan isian sayur segar.;Risol berisi campuran sayuran segar, dibalut dengan kulit renyah yang gurih dan lezat.;Cake;Mini/Slice;3500;20;;;;;;
Bitter Ballen;Camilan khas Belanda dengan isian gurih daging.;Bola daging yang renyah di luar dan creamy di dalam, disajikan dengan saus mustard atau mayo.;Cake;Mini/Slice;5000;20;;;;;;
Spaghetti Brulle;Lezatnya spaghetti panggang ala brulee.;Spaghetti dengan topping keju panggang hingga renyah dan creamy, memberikan sensasi lezat ala Italia.;Pasta;Mini/Slice;20000;20;;;;;;
Sosis Solo Ayam;Rasa khas Solo dengan isian ayam yang gurih;Camilan Solo berisi ayam cincang dalam kulit yang lembut, cocok dinikmati dengan saus sambal.;Other;Mini/Slice;5000;20;;;;;;
Sosis Solo Sapi;Sosis Solo isian daging sapi kaya rasa.;Sosis Solo dengan isian daging sapi yang gurih dan lezat, memberikan rasa khas Jawa Tengah.;Other;Mini/Slice;6500;20;;;;;;
Kroket Ayam;Renyah luar, lembut dan gurih isi ayam.;Kroket berisi daging ayam yang gurih, dibalut tepung panir untuk tekstur renyah sempurna.;Other;Mini/Slice;5000;20;;;;;;
Kroket Sapi;Kroket dengan daging sapi lembut yang gurih.;Kudapan klasik dengan isian daging sapi cincang, kulit renyah memberikan sensasi sempurna.;Other;Mini/Slice;6500;20;;;;;;
Pudding Coklat ;Manisnya coklat dalam pudding yang lembut.;Pudding coklat yang lembut, manis, dan kaya rasa cokelat, cocok sebagai dessert yang disukai semua kalangan.;Other;Mini/Slice;5500;20;;;;;;
Pudding Milo Cincau;Paduan unik Milo dan cincau yang menyegarkan.;Pudding Milo dengan cincau, kombinasi unik antara cokelat manis dan tekstur kenyal cincau hitam.;Other;Mini/Slice;6000;20;;;;;;
Lemper Ayam Kukus;Lemper ayam gurih, kukus hingga lembut.;Lemper dengan isian ayam suwir gurih, dibungkus ketan pulen dan dikukus hingga wangi.;Other;Mini/Slice;5000;20;;;;;;
Lemper Ayam Bakar;Aroma bakar yang harum dalam lemper ayam;Lemper berisi ayam suwir yang dipanggang, memberikan aroma wangi dan rasa gurih pada ketannya.;Other;Mini/Slice;6000;20;;;;;;
Arem-arem Kentang Ayam;Arem-arem lembut dengan isian ayam kentang.;Nasi gulung berisi ayam dan kentang yang gurih, ideal sebagai camilan atau pengganjal perut.;Other;Mini/Slice;4000;20;;;;;;
Arem-arem Kentang Sapi;Arem-arem dengan daging sapi dan kentang.;Nasi gulung dengan isian daging sapi dan kentang, memberikan rasa gurih dan kaya protein.;Other;Mini/Slice;6000;20;;;;;;
Pudding Syrup Marjan;Manisnya pudding dengan sentuhan sirup khas Marjan.;Pudding lembut dengan rasa sirup Marjan yang manis dan segar, memberikan kesan nostalgia yang istimewa.;Other;Mini/Slice;4500;20;;;;;;
Bread Pudding;Pudding roti klasik yang lembut dan manis.;Bread pudding dengan tekstur lembut dan creamy, dipanggang hingga berwarna keemasan dengan aroma butter yang harum.;Other;Mini/Slice;6000;20;;;;;;
Tahu Fantasi Sosis;Kreasi tahu goreng isi sosis unik.;Tahu dengan isian sosis, goreng hingga renyah, cocok untuk camilan ringan dan lezat.;Other;Mini/Slice;4000;20;;;;;;
Tahu Fantasi Telur Puyuh;Unik, tahu isi telur puyuh yang gurih.;Tahu goreng dengan isian telur puyuh, memberikan kombinasi tekstur renyah dan isi gurih.;Other;Mini/Slice;4000;20;;;;;;
Tahu Isi Sapi;Tahu goreng renyah dengan isian daging sapi;Tahu goreng berisi daging sapi cincang yang gurih dan lezat, cocok untuk camilan atau lauk.;Other;Mini/Slice;6000;20;;;;;;
Nagasari Pisang;Manisnya pisang dalam lapisan nagasari lembut.;Kue tradisional dengan lapisan tepung beras dan isi pisang, lembut dan harum khas nagasari.;Other;Mini/Slice;4000;20;;;;;;
Gabin Tape;Renyahnya gabin dengan isian tape manis.;Kudapan tradisional dengan isian tape manis yang diapit dalam biskuit gabin renyah, memberikan rasa manis dan gurih.;Other;Biasa;4000;20;;;;;;
Wingko Babat;Wingko legit, aroma kelapa bakar memikat.;Kue tradisional berbahan kelapa yang manis, dipanggang hingga memberikan aroma khas dan tekstur legit.;Other;Biasa;4000;20;;;;;;
Talam Ubi;Rasa ubi manis dalam kue talam lembut;Kue basah dengan lapisan ubi manis, teksturnya lembut dan legit, memberikan rasa manis alami dari ubi.;Other;Biasa;4000;20;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;Other;Mini/Slice;;20;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Chiffon Pandan Slice;;;Cake;Mini/Slice;4500;16;;;;;;
Pudding Buah Cup;;;Other;Mini/Slice;5,500;20;;;;;;
